date,aTeam,hTeam,per,time,arena,goalscorer,primary,secondary
2019-05-12,CAR,BOS,1,15:22,TD Garden,Matt Grzelcyk,,Charlie Coyle
2019-05-27,STL,BOS,2,12:41,TD Garden,Charlie McAvoy,Unassisted,None
2019-05-29,STL,BOS,1,04:44,TD Garden,Charlie Coyle,,
2019-06-01,BOS,STL,1,17:40,Enterprise Center,Charlie Coyle,,
2019-06-03,BOS,STL,1,13:14,Enterprise Center,Charlie Coyle,,None
2019-06-12,STL,BOS,3,17:50,TD Garden,Matt Grzelcyk,,None
2020-08-02,ARI,NSH,1,15:42,Rogers Place,Clayton Keller,,
2020-08-03,CHI,EDM,3,08:05,Rogers Place,Alex Chiasson,Unassisted,None
2020-08-04,ARI,NSH,1,07:50,Rogers Place,Nick Bonino,,
2020-08-04,ARI,NSH,3,19:03,Rogers Place,Clayton Keller,,None
2020-08-05,TBL,BOS,2,16:43,Scotiabank Arena,Charlie McAvoy,,
2020-08-08,PHI,TBL,2,14:22,Scotiabank Arena,Joel Farabee,,
2020-08-12,MTL,PHI,2,14:54,Scotiabank Arena,Joel Farabee,,None
2020-08-12,CAR,BOS,2,04:38,Scotiabank Arena,Charlie Coyle,Unassisted,None
2020-08-14,ARI,COL,1,16:49,Rogers Place,Clayton Keller,Unassisted,None
2020-08-15,BOS,CAR,2,00:14,Scotiabank Arena,Charlie Coyle,,
2020-08-17,COL,ARI,1,14:07,Rogers Place,Matt Nieto,,
2020-08-19,CBJ,TBL,3,12:01,Scotiabank Arena,Kevin Shattenkirk,,
2020-08-19,MTL,PHI,3,10:37,Scotiabank Arena,Joel Farabee,,
2020-08-19,ARI,COL,3,06:51,Rogers Place,Clayton Keller,,
2020-08-23,BOS,TBL,1,18:52,Scotiabank Arena,Charlie Coyle,,
2020-09-21,DAL,TBL,1,15:16,Rogers Place,Kevin Shattenkirk,,
2020-09-25,TBL,DAL,4,06:34,Rogers Place,Kevin Shattenkirk,,
2021-05-21,WSH,BOS,3,01:03,TD Garden,Charlie Coyle,,
2021-05-21,WSH,BOS,3,14:50,TD Garden,Matt Grzelcyk,Charlie McAvoy,
2021-05-24,EDM,WPG,2,16:37,Bell MTS Place,Alex Chiasson,,
2021-05-24,MIN,VGK,1,16:34,T-Mobile Arena,Jordan Greenway,,None
2021-05-29,NYI,BOS,3,06:20,TD Garden,Charlie McAvoy,,None
2021-05-31,NYI,BOS,1,02:38,TD Garden,Charlie Coyle,,
2022-05-06,CAR,BOS,1,17:16,TD Garden,Charlie Coyle,,None
2022-05-06,MIN,STL,1,00:39,Enterprise Center,Jordan Greenway,,
2022-05-07,NYR,PIT,1,10:31,PPG Paints Arena,Evan Rodrigues,,
2022-05-07,NYR,PIT,1,15:15,PPG Paints Arena,Evan Rodrigues,,None
2022-05-12,CAR,BOS,2,18:04,TD Garden,Charlie Coyle,,
2022-05-15,PIT,NYR,2,17:24,Madison Square Garden,Evan Rodrigues,Unassisted,None
2023-04-20,WPG,VGK,2,10:25,T-Mobile Arena,Jack Eichel,,
