last,first,name,height,DOB,homeTown,year,season,city,state,country
Carle,Owen,Owen Carle,-,,,1942,1942-43,,,
Davidson,James,James Davidson,-,,,1942,1942-43,,,
Dodge,Jack,Jack Dodge,-,,,1942,1942-43,,,
Dorr,Ernie,Ernie Dorr,-,,,1942,1942-43,,,
Dutton,Larry,Larry Dutton,-,,,1942,1942-43,,,
Figueria,Ed,Ed Figueria,-,,,1942,1942-43,,,
Keaton,-,- Keaton,-,,,1942,1942-43,,,
Kuhn,William,William Kuhn,-,,,1942,1942-43,,,
Lirakis,Alexander,Alexander Lirakis,-,,,1942,1942-43,,,
MacArthur,Burt,Burt MacArthur,-,8/14/1920,"Halifax, Nova Scotia",1942,1942-43,Halifax,Nova Scotia,Canada
McCarthy,Robert,Robert McCarthy,-,,,1942,1942-43,,,
Moran,Jim,Jim Moran,-,,,1942,1942-43,,,
Neilson,George,George Neilson,-,,,1942,1942-43,,,
Nesbitt,Jim,Jim Nesbitt,-,,,1942,1942-43,,,
Page,Guy,Guy Page,-,,,1942,1942-43,,,
Richey,George,George Richey,-,,,1942,1942-43,,,
Stone,Walt,Walt Stone,-,,,1942,1942-43,,,
Sullivan,John,John Sullivan,-,,,1942,1942-43,,,
Walsh,Jim,Jim Walsh,-,,,1942,1942-43,,,
Walworth,Walter,Walter Walworth,-,,,1942,1942-43,,,
Whalen,Thomas,Thomas Whalen,-,,,1942,1942-43,,,
Anderson,Francis,Francis Anderson,-,,,1945,1945-46,,,
Brown,Will,Will Brown,-,,,1945,1945-46,,,
Cleary,Don,Don Cleary,-,,"Cambridge, Massachusetts",1945,1945-46,Cambridge,Massachusetts,United States
Dutton,Larry,Larry Dutton,-,,,1945,1945-46,,,
Fernald,Denny,Denny Fernald,-,,,1945,1945-46,,,
Figueria,Ed,Ed Figueria,-,,,1945,1945-46,,,
Foley,Raymond,Raymond Foley,-,,,1945,1945-46,,,
Forbes,Benjamin,Benjamin Forbes,-,,,1945,1945-46,,,
Gould,Edward,Edward Gould,-,,,1945,1945-46,,,
Gray,Bob,Bob Gray,-,,,1945,1945-46,,,
Kirrane,William,William Kirrane,-,,,1945,1945-46,,,
Lirakis,Alexander,Alexander Lirakis,-,,,1945,1945-46,,,
Mains,Charlie,Charlie Mains,-,,,1945,1945-46,,,
McGinley,Dick,Dick McGinley,-,,,1945,1945-46,,,
O'Riordan,Ed,Ed O'Riordan,-,,,1945,1945-46,,,
Quinn,David,David Quinn,-,,,1945,1945-46,,,
Smith,James,James Smith,-,,,1945,1945-46,,,
St. Hiliaire,Gene,Gene St. Hiliaire,-,,,1945,1945-46,,,
Crowley,Daniel,Daniel Crowley,-,12/10/1920,"Medford, Massachusetts",1946,1946-47,Medford,Massachusetts,United States
Anderson,Francis,Francis Anderson,-,,,1946,1946-47,,,
Cleary,Don,Don Cleary,-,,"Cambridge, Massachusetts",1946,1946-47,Cambridge,Massachusetts,United States
Clopeck,Jack,Jack Clopeck,-,,,1946,1946-47,,,
Dutton,Larry,Larry Dutton,-,,,1946,1946-47,,,
Figueria,Ed,Ed Figueria,-,,,1946,1946-47,,,
Forbes,Benjamin,Benjamin Forbes,-,,,1946,1946-47,,,
Gleason,Jerome,Jerome Gleason,-,,,1946,1946-47,,,
Haynes,Irving,Irving Haynes,-,,,1946,1946-47,,,
Hixon,Dana,Dana Hixon,-,,,1946,1946-47,,,
Jurgelevich,William,William Jurgelevich,-,,,1946,1946-47,,,
Kirrane,William,William Kirrane,-,,,1946,1946-47,,,
Maker,Robert,Robert Maker,-,,,1946,1946-47,,,
Reynolds,James,James Reynolds,-,,,1946,1946-47,,,
Smith,James,James Smith,-,,,1946,1946-47,,,
